Cluster,Package,Contractor,Week Avg Raw %,Week Avg Weighted %,Week Red Flags,Month Avg Raw %,Month Avg Weighted %,Month Red Flags,Month Improvement,Award Eligible,Rank
Cluster 7A,,,0.3933333333333333,,0,0.3933333333333333,,0,,NO,5
Cluster 7B,,,,,0,,,0,,,
Cluster 8A,,,,,0,,,0,,,
Cluster 8B,,,,,0,,,0,,,
Cluster 8C,,,,,0,,,0,,,
Cluster 8D,,,,,0,,,0,,,
Cluster 3,,,0.5866666666666667,,0,0.6066666666666667,,0,,NO,4
Cluster 4,,,,,0,0.6266666666666667,,0,,NO,3
Cluster 5,,,,,0,0.6466666666666666,,0,,NO,1
Cluster 6,,,,,0,0.64,,1,,NO,2
Cluster 1A,,,,,0,,,0,,,
Cluster 1B,,,,,0,,,0,,,
Cluster 2A,,,,,0,,,0,,,
Cluster 2B,,,,,0,,,0,,,
Cluster 2C,,,,,0,,,0,,,
KPI performance snapshot,,,,,,,,,,,
KPI,Selected Week Avg Score,Selected Month Avg Score,Gap to 5 (Week),Gap to 5 (Month),,Root Cause,Selected Week Count,Selected Month Count,,,
Work at Height Control,3,3.1666666666666665,2,1.8333333333333335,,Leadership failure,0,0,,,
Edge Protection,2.5,3,2.5,2,,Poor supervision,1,3,,,
Falling Object Prevention,2,2.5,3,2.5,,Poor planning,1,2,,,
Excavation Safety,3,2.5,2,2.5,,PTW failure,0,0,,,
Scaffolding Compliance,3.25,3.5833333333333335,1.75,1.4166666666666665,,Weak MSRA,0,0,,,
PTW Implementation,2,2.8333333333333335,3,2.1666666666666665,,Poor subcontractor control,0,1,,,
PTW Field Verification,2,2.75,3,2.25,,Resource constraint,0,0,,,
MSRA Quality,3,3.8,2,1.2000000000000002,,Inadequate competence,0,0,,,
Lifting/Precast Installation,2.5,2.6666666666666665,2.5,2.3333333333333335,,Poor housekeeping culture,0,0,,,
Traffic & Man-Machine Interface,2.5,2.5,2.5,2.5,,Interface / simultaneous activity conflict,0,0,,,
Housekeeping/Waste Management,3,2.6666666666666665,2,2.3333333333333335,,Other,0,0,,,
Welfare Arrangement,4,3.8333333333333335,1,1.1666666666666665,,,,,,,
Fire Readiness,2.5,3.5,2.5,1.5,,,,,,,
Supervision & Subcontractor Control,2,3,3,2,,,,,,,
Temporary Electrical & Tool Safety,2.5,3.1666666666666665,2.5,1.8333333333333335,,,,,,,
